name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Faisalabad,2024-01-01,70.8,49.9,56.1,70.8,49.9,56.1,34.8,51,0,0,0,,0,0,5.4,4,273,1019.1,0,10.8,143.9,12.5,6,10,2024-01-01T07:06:46,2024-01-01T17:15:10,0.67,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-02,70.1,47.4,55.3,70.1,47.4,55.3,33.7,49.7,0,0,0,,0,0,4.3,4,253.1,1018.5,27,10.9,144.1,12.5,6,10,2024-01-02T07:07:00,2024-01-02T17:15:53,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-03,69,47.4,55.8,69,47.4,55.8,31.6,44.7,0,0,0,,0,0,4.7,3.8,22.4,1018.4,28.5,11.4,144.3,12.5,6,10,2024-01-03T07:07:12,2024-01-03T17:16:38,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-04,69.9,42,55.5,69.9,42,55.5,30.9,44.6,0,0,0,,0,0,3.8,3.8,278.6,1018.6,49.2,11.4,141.3,12.2,6,10,2024-01-04T07:07:23,2024-01-04T17:17:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-05,69.2,42,54.2,69.2,42,54.1,31.8,48.6,0,0,0,,0,0,4,4.7,320.5,1018.5,61.2,10.8,138.4,11.9,6,10,2024-01-05T07:07:32,2024-01-05T17:18:09,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-06,68.4,44.7,54.1,68.4,42.4,54,31.1,47.2,0,0,0,,0,0,4.3,4.5,351.7,1020.4,4.2,11.4,146,12.6,6,10,2024-01-06T07:07:39,2024-01-06T17:18:55,0.83,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-07,68.8,42.9,53,68.8,42.9,53,30.8,50.2,0,0,0,,0,0,2.2,2.2,206.4,1021.1,29.2,10.8,147.5,12.8,6,10,2024-01-07T07:07:44,2024-01-07T17:19:43,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-08,68.4,42.9,54.3,68.4,42.9,54.3,31,47.8,0,0,0,,0,0,5.6,4.9,223.9,1020.4,30.8,11.3,145.8,12.6,6,10,2024-01-08T07:07:48,2024-01-08T17:20:32,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-09,69.2,40.2,54.6,69.2,40.2,54.5,32.3,48.6,0,0,0,,0,0,7.4,5.4,335.1,1020.9,23.9,11.4,146.3,12.5,6,10,2024-01-09T07:07:50,2024-01-09T17:21:21,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-10,72.8,40.2,54.2,72.8,40.2,54,31.5,50.2,0,0,0,,0,0,8.5,7.4,275.9,1019.9,0.4,10.7,150.3,13.1,6,10,2024-01-10T07:07:51,2024-01-10T17:22:10,0.96,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-11,73.7,42.9,55,73.7,42.9,54.9,29.8,47.2,0,0,0,,0,0,8.3,6,257.1,1019.2,1.7,10.8,152.3,13.2,6,10,2024-01-11T07:07:49,2024-01-11T17:23:01,0,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-12,71.9,40.2,55.3,71.9,38,55.1,29.3,45.9,0,0,0,,0,0,8.3,5.6,272.1,1018.2,79.3,10.7,110.5,9.6,4,10,2024-01-12T07:07:46,2024-01-12T17:23:52,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-13,72.9,44.7,56.8,72.9,44.7,56.8,28.5,42.9,0,0,0,,0,0,4.9,4,223,1017,35,10.7,154.7,13.2,6,10,2024-01-13T07:07:41,2024-01-13T17:24:44,0.06,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-14,73.5,41.1,55.2,73.5,41.1,55.2,26.9,41.8,0,0,0,,0,0,6.5,5.4,299.4,1018.1,1.5,10.8,155.2,13.3,6,10,2024-01-14T07:07:35,2024-01-14T17:25:36,0.1,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-15,74.4,39.3,54.2,74.4,39.3,54.1,25.1,43.9,0,0,0,,0,0,5.8,4.7,243.7,1016.7,40.3,10.7,153.5,13.2,6,10,2024-01-15T07:07:26,2024-01-15T17:26:28,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-16,69.9,39.3,54.4,69.9,39.3,54.3,21.2,35.6,0,0,0,,0,0,5.6,4.9,109.3,1014.9,12.6,12,156.3,13.3,6,10,2024-01-16T07:07:16,2024-01-16T17:27:21,0.17,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-17,69.7,40.2,53.6,69.7,40.2,53,24.7,39.8,0,0,0,,0,0,7.4,5.8,45,1015.8,37.3,11.9,144.6,12.6,6,10,2024-01-17T07:07:05,2024-01-17T17:28:14,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-18,71.5,40.2,54.8,71.5,40.1,54.7,26.9,42.4,0,0,0,,0,0,4,4.7,65.7,1017.7,3.9,11.3,157,13.4,6,10,2024-01-18T07:06:51,2024-01-18T17:29:08,0.25,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-19,73.3,43.8,55.8,73.3,43.2,55.7,27.7,43.4,0,0,0,,0,0,4.5,4.7,193.4,1018.2,2.9,10.7,159.1,13.7,6,10,2024-01-19T07:06:36,2024-01-19T17:30:02,0.27,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-20,71.3,44.7,54.5,71.3,42.2,54.4,28.2,45.3,0,0,0,,0,0,4.5,4.7,168.4,1019.1,15.9,10.7,159.4,13.8,6,10,2024-01-20T07:06:19,2024-01-20T17:30:56,0.31,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-21,73.1,44.7,54.5,73.1,44.7,54.5,26.7,43,0,0,0,,0,0,7.8,6,268.2,1019,23.9,10.8,163,14,6,10,2024-01-21T07:06:00,2024-01-21T17:31:51,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-22,71.1,44.7,54.1,71.1,42.2,53.7,23.6,39.7,0,0,0,,0,0,5.8,5.1,137,1018.8,23.2,10.8,160.9,13.9,6,10,2024-01-22T07:05:40,2024-01-22T17:32:45,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-23,68.8,45.6,53.1,68.8,44.3,52.8,24.4,41.8,0,0,0,,0,0,4.3,4.5,67,1019.4,3.8,10.8,165.8,14.2,6,10,2024-01-23T07:05:18,2024-01-23T17:33:40,0.41,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-24,69.3,45.4,53.3,69.3,45.4,53.3,24.7,41.8,0,0,0,,0,0,3.1,3.1,182.1,1019.2,19,10.8,167.8,14.4,7,10,2024-01-24T07:04:55,2024-01-24T17:34:35,0.45,Clear,Clear conditions throughout the day.,clear-day,"remote,41630099999"
Faisalabad,2024-01-25,66.5,45.6,53.3,66.5,43.2,53,24.4,42.3,0,0,0,,0,0,4,4.7,145.3,1021.1,83.6,10.8,113.5,9.8,5,10,2024-01-25T07:04:29,2024-01-25T17:35:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-26,69.9,44.7,55.3,69.9,44.7,55.2,25.5,39.2,0,0,0,,0,0,5.8,4.9,318.6,1022.2,63.5,10.9,147.8,12.9,6,10,2024-01-26T07:04:03,2024-01-26T17:36:24,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41630099999"
Faisalabad,2024-01-27,73.5,42,59.5,73.5,42,59.5,30.7,37,0,0,0,,0,0,6.9,6,313.7,1020.2,56.4,11.7,150.5,12.9,6,10,2024-01-27T07:03:34,2024-01-27T17:37:19,0.55,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41630099999"
